epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69727,0.83645,1.4383,1.00367,0.63,0.67956,0.73654,0.59603,0.76979,1.24093,1.04903,4.557e-05,4.557e-05,4.557e-05
2,8.53502,0.81133,1.2507,1.00794,0.71136,0.67927,0.75683,0.59504,0.81139,1.15261,1.08572,9.17704e-05,9.17704e-05,9.17704e-05
3,12.3098,0.87951,1.29071,1.02029,0.78224,0.67181,0.78931,0.6375,0.78216,1.1507,1.06667,0.000136395,0.000136395,0.000136395
4,16.1866,0.82649,1.19757,1.01499,0.73647,0.74092,0.83323,0.67836,0.75571,1.11089,1.04422,0.000179445,0.000179445,0.000179445
5,19.9036,0.83424,1.15104,1.01013,0.74451,0.66556,0.81346,0.66755,0.75463,1.06078,1.04031,0.000202678,0.000202678,0.000202678
6,23.4225,0.82879,1.08301,1.01498,0.79998,0.71576,0.83529,0.67077,0.78663,1.00515,1.05498,0.000199097,0.000199097,0.000199097
7,27.2583,0.84951,1.10353,1.01373,0.81828,0.74859,0.83631,0.67689,0.76715,0.91197,1.05364,0.000195517,0.000195517,0.000195517
8,31.1825,0.82164,1.02442,1.00488,0.74449,0.75357,0.85828,0.699,0.76135,0.95807,1.04622,0.000191936,0.000191936,0.000191936
9,35.1421,0.79993,0.9834,0.97471,0.805,0.77685,0.8517,0.68333,0.78306,0.87375,1.06638,0.000188356,0.000188356,0.000188356
10,39.051,0.76966,0.90812,0.97191,0.93045,0.66393,0.8593,0.69383,0.77548,0.88335,1.05965,0.000184775,0.000184775,0.000184775
11,42.8146,0.78535,0.9106,0.9697,0.83173,0.75975,0.86186,0.70117,0.76367,0.79965,1.05685,0.000181195,0.000181195,0.000181195
12,46.7369,0.7841,0.85211,0.97068,0.76844,0.84877,0.88011,0.71332,0.74418,0.76298,1.05961,0.000177614,0.000177614,0.000177614
13,50.4958,0.74824,0.84208,0.97442,0.86926,0.806,0.904,0.73573,0.7534,0.7303,1.06703,0.000174034,0.000174034,0.000174034
14,54.2303,0.76262,0.83264,0.97217,0.81962,0.84221,0.89217,0.73238,0.74103,0.72584,1.0533,0.000170453,0.000170453,0.000170453
15,57.8368,0.7701,0.84582,0.97486,0.8037,0.8391,0.89028,0.73398,0.73051,0.75549,1.04411,0.000166873,0.000166873,0.000166873
16,61.6794,0.78073,0.83817,0.9588,0.86723,0.81348,0.90457,0.74926,0.71622,0.7387,1.03918,0.000163292,0.000163292,0.000163292
17,65.6638,0.70633,0.75802,0.94764,0.82332,0.85403,0.90985,0.75267,0.73774,0.67021,1.05716,0.000159712,0.000159712,0.000159712
18,69.6577,0.75305,0.7126,0.9688,0.88449,0.79399,0.89072,0.73557,0.73555,0.6959,1.06014,0.000156132,0.000156132,0.000156132
19,73.5421,0.72918,0.71193,0.96207,0.9256,0.79148,0.92348,0.7726,0.7305,0.6775,1.05237,0.000152551,0.000152551,0.000152551
20,77.526,0.7103,0.70063,0.94908,0.93077,0.84207,0.94336,0.78701,0.71903,0.6287,1.04241,0.00014897,0.00014897,0.00014897
21,81.525,0.7379,0.73644,0.96751,0.91266,0.82699,0.94075,0.7772,0.73047,0.63428,1.04447,0.00014539,0.00014539,0.00014539
22,85.3833,0.72056,0.68314,0.96998,0.85323,0.85422,0.94572,0.76893,0.74447,0.62452,1.05079,0.000141809,0.000141809,0.000141809
23,89.1053,0.68989,0.67835,0.94824,0.89797,0.85346,0.94825,0.77304,0.74832,0.5988,1.05071,0.000138229,0.000138229,0.000138229
