epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0892,0.80557,0.70914,1.04008,0.89115,0.78144,0.86762,0.63502,1.16026,0.7789,1.4797,6.944e-05,6.944e-05,6.944e-05
2,16.1243,0.76721,0.6518,1.00935,0.87763,0.80065,0.88782,0.64037,1.11329,0.74835,1.35728,0.000138723,0.000138723,0.000138723
3,22.2028,0.77741,0.66934,1.01951,0.80687,0.82103,0.87504,0.63298,1.15101,0.76115,1.36642,0.000205642,0.000205642,0.000205642
4,27.3772,0.769,0.6347,0.99529,0.89638,0.79517,0.88567,0.64632,1.12873,0.6939,1.38544,0.000206258,0.000206258,0.000206258
5,32.6631,0.75169,0.6505,0.99322,0.89665,0.79754,0.8668,0.62746,1.11883,0.73736,1.40049,0.000202678,0.000202678,0.000202678
6,37.7343,0.72729,0.63662,0.97481,0.8781,0.83204,0.87381,0.64707,1.09203,0.68741,1.36576,0.000199097,0.000199097,0.000199097
7,42.7465,0.72988,0.61941,0.97804,0.84944,0.83038,0.8714,0.63049,1.11137,0.67269,1.3595,0.000195517,0.000195517,0.000195517
8,47.9121,0.71489,0.60956,0.96212,0.88322,0.82029,0.88557,0.63565,1.12089,0.66952,1.36479,0.000191936,0.000191936,0.000191936
9,53.4104,0.70469,0.589,0.97051,0.86503,0.84837,0.8929,0.65172,1.10386,0.65554,1.35631,0.000188356,0.000188356,0.000188356
10,58.5821,0.74168,0.61277,0.96964,0.86654,0.82522,0.88284,0.64238,1.10085,0.66763,1.37106,0.000184775,0.000184775,0.000184775
11,63.5511,0.72152,0.61213,0.97176,0.92577,0.81058,0.89561,0.64814,1.10916,0.60554,1.36971,0.000181195,0.000181195,0.000181195
12,68.5413,0.72684,0.60458,0.96533,0.90685,0.81819,0.89227,0.65161,1.11486,0.59925,1.39916,0.000177614,0.000177614,0.000177614
13,73.4826,0.69632,0.55363,0.95403,0.83675,0.85336,0.89971,0.64198,1.12939,0.6287,1.38273,0.000174034,0.000174034,0.000174034
14,78.4574,0.69933,0.58141,0.9696,0.86239,0.83209,0.88589,0.64494,1.14066,0.63479,1.42202,0.000170453,0.000170453,0.000170453
15,83.4709,0.69792,0.57567,0.96748,0.8544,0.81616,0.8801,0.62957,1.12154,0.66952,1.40986,0.000166873,0.000166873,0.000166873
16,88.4744,0.67651,0.56539,0.95587,0.76853,0.86586,0.88819,0.64611,1.10703,0.64594,1.3948,0.000163292,0.000163292,0.000163292
17,93.4543,0.69653,0.58084,0.95652,0.83004,0.8552,0.88758,0.65174,1.10664,0.60613,1.37115,0.000159712,0.000159712,0.000159712
18,98.4822,0.67726,0.54218,0.94092,0.86636,0.8566,0.87636,0.63678,1.12326,0.62374,1.37273,0.000156132,0.000156132,0.000156132
19,103.868,0.66112,0.52992,0.93769,0.82261,0.85385,0.89023,0.64736,1.13738,0.61574,1.4185,0.000152551,0.000152551,0.000152551
20,109.153,0.69769,0.54194,0.96717,0.90634,0.7884,0.86687,0.63993,1.15967,0.62579,1.47371,0.00014897,0.00014897,0.00014897
21,114.423,0.66142,0.51949,0.93213,0.91469,0.79763,0.87208,0.62724,1.18107,0.64105,1.50585,0.00014539,0.00014539,0.00014539
22,119.643,0.65761,0.51619,0.94103,0.90623,0.79279,0.88295,0.63982,1.12875,0.60326,1.43338,0.000141809,0.000141809,0.000141809
23,125.051,0.6292,0.52439,0.93896,0.89821,0.81291,0.8693,0.6352,1.10921,0.61408,1.42406,0.000138229,0.000138229,0.000138229
24,130.393,0.63782,0.5056,0.94022,0.90468,0.7931,0.8784,0.63999,1.10941,0.60521,1.39468,0.000134648,0.000134648,0.000134648
25,135.468,0.64609,0.49351,0.91915,0.91105,0.79706,0.87878,0.63669,1.12155,0.59394,1.40452,0.000131068,0.000131068,0.000131068
26,140.587,0.65463,0.51551,0.93351,0.91001,0.79556,0.89303,0.64652,1.14738,0.61571,1.42108,0.000127487,0.000127487,0.000127487
27,145.773,0.61903,0.48348,0.91536,0.91219,0.78681,0.88381,0.64413,1.13348,0.63392,1.427,0.000123907,0.000123907,0.000123907
28,151.032,0.62308,0.5042,0.93099,0.8202,0.85782,0.87298,0.64403,1.16424,0.61381,1.48824,0.000120326,0.000120326,0.000120326
29,156.068,0.62748,0.494,0.91757,0.89399,0.79968,0.86019,0.6325,1.13209,0.62221,1.42765,0.000116746,0.000116746,0.000116746
30,161.118,0.62582,0.49644,0.92517,0.87949,0.80063,0.85582,0.62319,1.15085,0.61999,1.48055,0.000113165,0.000113165,0.000113165
31,166.234,0.5887,0.45422,0.91423,0.92224,0.79959,0.87723,0.64821,1.13879,0.59948,1.48403,0.000109585,0.000109585,0.000109585
32,171.438,0.60044,0.46127,0.90243,0.90401,0.80657,0.88409,0.64653,1.1536,0.59704,1.46479,0.000106004,0.000106004,0.000106004
33,176.694,0.5929,0.46374,0.92034,0.90331,0.80288,0.87411,0.63341,1.1644,0.58922,1.50153,0.000102424,0.000102424,0.000102424
34,181.96,0.59326,0.46938,0.91573,0.90759,0.79671,0.87541,0.63102,1.17086,0.58072,1.54059,9.88435e-05,9.88435e-05,9.88435e-05
35,187.132,0.57835,0.42568,0.90413,0.90674,0.79829,0.88657,0.64501,1.13675,0.59577,1.46764,9.5263e-05,9.5263e-05,9.5263e-05
36,192.279,0.59425,0.45654,0.90717,0.90799,0.79534,0.87644,0.63602,1.10119,0.61178,1.43577,9.16825e-05,9.16825e-05,9.16825e-05
37,197.3,0.58134,0.44388,0.90436,0.90921,0.79702,0.87042,0.62997,1.11476,0.59809,1.44121,8.8102e-05,8.8102e-05,8.8102e-05
38,202.44,0.55857,0.44763,0.89637,0.91022,0.79313,0.86532,0.6374,1.13454,0.60681,1.46184,8.45215e-05,8.45215e-05,8.45215e-05
