epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2476,1.38712,4.61651,1.35778,0.13652,0.20943,0.04219,0.03055,1.15419,4.43271,1.18922,6.944e-05,6.944e-05,6.944e-05
2,35.6599,1.15303,3.06265,1.14191,0.19889,0.35572,0.18465,0.12558,1.16733,6.07036,1.25282,0.000138723,0.000138723,0.000138723
3,54.5935,1.10203,2.50533,1.13823,0.48561,0.33812,0.35837,0.25142,1.18194,4.02212,1.42711,0.000205642,0.000205642,0.000205642
4,80.7749,1.09673,2.20206,1.13317,0.49259,0.49173,0.49649,0.36447,1.10775,1.97849,1.31672,0.000206258,0.000206258,0.000206258
5,105.747,0.98995,1.79451,1.09646,0.6841,0.47974,0.55814,0.39269,1.14143,1.65928,1.39702,0.000202678,0.000202678,0.000202678
6,124.792,1.02707,1.68024,1.13681,0.46306,0.7175,0.6778,0.48067,1.09703,1.30021,1.35135,0.000199097,0.000199097,0.000199097
7,151.048,0.99793,1.4978,1.1138,0.70298,0.58489,0.66279,0.46194,1.13037,1.29748,1.3859,0.000195517,0.000195517,0.000195517
8,170.829,0.94056,1.3687,1.10101,0.79779,0.62555,0.73996,0.52295,1.13791,1.14121,1.38549,0.000191936,0.000191936,0.000191936
9,197.613,0.95652,1.26208,1.10843,0.8761,0.62367,0.79548,0.55946,1.13433,1.09019,1.39819,0.000188356,0.000188356,0.000188356
10,222.058,0.90582,1.13384,1.09654,0.85588,0.696,0.80918,0.58281,1.10229,1.01051,1.36768,0.000184775,0.000184775,0.000184775
11,246.094,0.9122,1.07806,1.07125,0.83935,0.73048,0.82215,0.58959,1.13169,0.9312,1.44912,0.000181195,0.000181195,0.000181195
12,273.49,0.87772,1.02027,1.10069,0.89045,0.72742,0.83827,0.59839,1.12547,0.87285,1.4324,0.000177614,0.000177614,0.000177614
13,290.359,0.8886,0.97579,1.08026,0.87895,0.74684,0.85571,0.60689,1.1251,0.82208,1.44874,0.000174034,0.000174034,0.000174034
14,308.858,0.91668,0.97786,1.08951,0.80184,0.8032,0.86618,0.60674,1.13431,0.80775,1.48141,0.000170453,0.000170453,0.000170453
15,328.38,0.89705,0.91945,1.10728,0.84396,0.79028,0.86584,0.60853,1.07643,0.82084,1.38269,0.000166873,0.000166873,0.000166873
16,345.238,0.87252,0.86717,1.07116,0.89571,0.72332,0.84543,0.58468,1.15374,0.80531,1.43502,0.000163292,0.000163292,0.000163292
17,363.376,0.85937,0.88172,1.05999,0.896,0.76047,0.86575,0.62953,1.10907,0.76094,1.42698,0.000159712,0.000159712,0.000159712
18,388.556,0.83108,0.78885,1.04746,0.8731,0.81654,0.87434,0.63032,1.12185,0.73402,1.47768,0.000156132,0.000156132,0.000156132
19,406.099,0.86951,0.76671,1.08121,0.80614,0.83158,0.87963,0.61874,1.12354,0.72783,1.48105,0.000152551,0.000152551,0.000152551
20,424.855,0.85002,0.76039,1.06224,0.90551,0.78103,0.86733,0.61675,1.14672,0.69368,1.49334,0.00014897,0.00014897,0.00014897
